Strategy, Time, Russel price, ES price, combo opening, current combo, lower boundary, higher boundary, state, conclusion

futArb,2019-09-12 15:00:03.147358,1576.9,3009.25,12772.49999999999,12772.49999999999,n/a,n/a,closed,Triggered futArb
futArb,2019-09-12 15:02:02.437780,1576.7,3009.25,12772.49999999999,12792.499999999996,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:04:02.794892,1576.1,3008.25,12772.49999999999,12802.50000000001,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:06:03.167141,1577.3,3010.0,12772.49999999999,12770.000000000004,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:08:02.506733,1577.1,3009.5,12772.49999999999,12765.00000000001,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:10:02.866450,1577.3,3009.5,12772.49999999999,12745.000000000004,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:12:03.157859,1577.4,3009.75,12772.49999999999,12747.49999999999,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:14:02.440828,1578.1,3010.25,12772.49999999999,12702.50000000001,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:16:02.726579,1578.1,3010.0,12772.49999999999,12690.00000000001,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:18:03.048556,1578.25,3010.75,12772.49999999999,12712.5,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:20:02.343768,1578.6,3011.0,12772.49999999999,12690.00000000001,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:22:02.758029,1578.4,3010.5,12772.49999999999,12684.99999999999,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:24:03.153863,1579.0,3011.0,12772.49999999999,12650.0,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:26:02.632615,1578.5,3009.75,12772.49999999999,12637.5,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:28:03.109101,1578.5,3009.5,12772.49999999999,12625.0,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:30:02.704078,1577.2,3009.75,12772.49999999999,12767.499999999996,12522.49999999999,13022.49999999999,closed,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:32:06.436663,1573.4,3010.25,12772.49999999999,13172.49999999999,12522.49999999999,13022.49999999999,open,"Combo price above high boundary, opened a position"
futArb,2019-09-12 15:34:04.259024,1572.8,3012.75,12772.49999999999,13357.500000000004,12022.49999999999,13522.49999999999,open,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:36:03.957229,1572.0,3011.0,12772.49999999999,13350.0,12022.49999999999,13522.49999999999,open,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:38:03.710357,1572.6,3010.75,12772.49999999999,13277.50000000001,12022.49999999999,13522.49999999999,open,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:40:04.471347,1574.1,3012.0,12772.49999999999,13190.00000000001,12022.49999999999,13522.49999999999,open,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:42:04.191573,1573.1,3009.75,12772.49999999999,13177.50000000001,12022.49999999999,13522.49999999999,open,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:44:04.202999,1569.65,3007.5,12772.49999999999,13409.99999999999,12022.49999999999,13522.49999999999,open,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:46:04.413589,1568.5,3006.5,12772.49999999999,13475.0,12022.49999999999,13522.49999999999,open,"Combo price within boundaries, did nothing"
futArb,2019-09-12 15:48:06.813309,1563.4,3003.75,12772.49999999999,13847.49999999999,12022.49999999999,13522.49999999999,non_triggerable,"Combo price above high boundary, closed position"
